Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",₹1.99 Cr,"Kanathur Reddikuppam, Chennai",2583,7700,4,Yes
"Ramanathan Nagar, Pozhichalur,Chennai","10 BHK Independent House for sale in Pozhichalur, Chennai",₹2.25 Cr,"Ramanathan Nagar, Pozhichalur,Chennai",7000,3210,6,Yes
DAC Prapthi,"3 BHK Flat for sale in West Tambaram, Chennai",₹1.0 Cr,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580,3,No
"Naveenilaya,Chepauk, Triplicane,Chennai","7 BHK Independent House for sale in Triplicane, Chennai",₹3.33 Cr,"Naveenilaya,Chepauk, Triplicane,Chennai",4250,7840,5,Yes
VGN Spring Field Phase 1,"2 BHK Flat for sale in Avadi, Chennai",₹48.0 L,"Avadi, Chennai",960,5000,3,Yes
KG Earth Homes,"2 BHK Flat for sale in Siruseri, Chennai",₹40.0 L,"Siruseri, Chennai",940,4250,3,No
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai","2 BHK Flat for sale in Sembakkam, Chennai",₹60.0 L,"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",880,6820,3,Yes
TK Jasmine Grove,"3 BHK Independent House for sale in Mahindra World City, Chennai",₹72.35 L,"Mahindra World City, Chennai",1700,4250,3,Yes
Avenue,"2 BHK Flat for sale in West Tambaram, Chennai",₹42.0 L,"Brindavan Colony, West Tambaram,Chennai",840,5000,3,No
Guru Kothai Aparts,"1 BHK Flat for sale in Chromepet, Chennai",₹30.0 L,"New Colony, Chromepet,Chennai",535,5610,2,No
Mahindra Lifespaces Aqualilly Flexi Homes,"1 BHK Flat for sale in Mahindra World City, Chennai",₹29.4 L,"Mahindra World City, Chennai",581,5060,2,Yes
DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",₹1.3 Cr,"Rose Avenue, Pallikaranai,Chennai",1444,9000,3,No
"Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",₹8.5 Cr,"Ramakrishna Puram, West Mambalam,Chennai",6000,14170,1,Yes
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",₹1.15 Cr,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,13100,3,Yes
"Chimaera Apartments,Madambakkam, Chennai","2 BHK Flat for sale in Madambakkam, Chennai",₹49.0 L,"Chimaera Apartments,Madambakkam, Chennai",944,5190,3,No
SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",₹57.0 L,"Perungalathur, Chennai",1317,4330,3,No
"ARUN EXCELLO ,Padappai, Chennai","2 BHK Flat for sale in Padappai, Chennai",₹25.0 L,"ARUN EXCELLO ,Padappai, Chennai",820,3050,3,No
Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",₹2.6 Cr,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680,3,Yes
