Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony
1,Chennai,Kanathur Reddikuppam,2583,7700,1.99,Flat,4 BHK,4,Yes
2,Chennai,Pozhichalur,7000,3210,2.25,Independent House,10 BHK,6,Yes
3,Chennai,West Tambaram,1320,7580,1,Flat,3 BHK,3,No
4,Chennai,Triplicane,4250,7840,3.33,Independent House,7 BHK,5,Yes
5,Chennai,Avadi,960,5000,0.48,Flat,2 BHK,3,Yes
6,Chennai,Siruseri,940,4250,0.4,Flat,2 BHK,3,No
7,Chennai,Sembakkam,880,6820,0.6,Flat,2 BHK,3,Yes
8,Chennai,Mahindra World City,1700,4250,0.72,Independent House,3 BHK,3,Yes
9,Chennai,West Tambaram,840,5000,0.42,Flat,2 BHK,3,No
10,Chennai,Chromepet,535,5610,0.3,Flat,1 BHK,2,No
11,Chennai,Mahindra World City,581,5060,0.29,Flat,1 BHK,2,Yes
12,Chennai,Pallikaranai,1444,9000,1.3,Flat,3 BHK,3,No
13,Chennai,West Mambalam,6000,14170,8.5,Villa,6 BHK,1,Yes
14,Chennai,Ashok Nagar,878,13100,1.15,Flat,2 BHK,3,Yes
15,Chennai,Madambakkam,944,5190,0.49,Flat,2 BHK,3,No
16,Chennai,Perungalathur,1317,4330,0.57,Flat,3 BHK,3,No
17,Chennai,Padappai,820,3050,0.25,Flat,2 BHK,3,No
18,Chennai,Nungambakkam,1658,15680,2.6,Flat,3 BHK,3,Yes
19,Chennai,Muttukadu,4200,7070,2.97,Flat,4 BHK,5,Yes
20,Chennai,Pozhichalur,2838,5710,1.62,Independent House,2 BHK,4,Yes
21,Chennai,Vandalur,1566,6900,1.08,Villa,3 BHK,3,No
22,Chennai,Thiruverkkadu,2350,4250,1,Flat,4 BHK,4,Yes
23,Chennai,Ayappakkam,868,4610,0.4,Flat,2 BHK,3,Yes
24,Chennai,Choolaimedu,926,9610,0.89,Flat,2 BHK,3,Yes
25,Chennai,Saidapet,1090,5780,0.63,Flat,2 BHK,3,Yes
26,Chennai,Perungudi,1307,6880,0.9,Flat,3 BHK,3,Yes
27,Chennai,Senganmal,605,4130,0.25,Flat,1 BHK,2,Yes
28,Chennai,Thirumullaivoyal,967,5120,0.5,Flat,2 BHK,3,Yes
29,Chennai,Kattur,586,4950,0.29,Flat,1 BHK,2,No
30,Chennai,Selaiyur,1038,4330,0.45,Flat,2 BHK,3,No
31,Chennai,Sholinganallur,1500,4670,0.7,Flat,3 BHK,3,No
32,Chennai,Semmancheri,1133,4060,0.46,Flat,3 BHK,3,Yes
33,Chennai,Saligramam,1100,8140,0.9,Flat,2 BHK,3,Yes
34,Chennai,Thirumullaivoyal,1024,4390,0.45,Flat,3 BHK,3,No
35,Chennai,Sriperumbudur,1508,3580,0.54,Villa,3 BHK,3,Yes
36,Chennai,Ponmar,1782,4880,0.87,Villa,3 BHK,3,Yes
37,Chennai,Virugambakkam,2500,10000,2.5,Independent House,5 BHK,4,Yes
38,Chennai,Adyar,900,7780,0.7,Flat,2 BHK,3,Yes
39,Chennai,West Tambaram,537,4840,0.26,Flat,1 BHK,2,Yes
40,Chennai,Kottavakkam,1292,6960,0.9,Independent House,2 BHK,3,Yes
41,Chennai,Thiruverkkadu,1096,4930,0.54,Flat,3 BHK,3,No
42,Chennai,Ayanavaram,2300,10430,2.4,Independent House,4 BHK,4,Yes
43,Chennai,Sembakkam,586,4950,0.29,Flat,1 BHK,2,No
44,Chennai,Old Pallavaram,1112,8090,0.9,Flat,2 BHK,3,No
45,Chennai,Veppampattu,560,4430,0.25,Independent House,1 BHK,2,Yes
46,Chennai,Pammal,856,4320,0.37,Flat,2 BHK,3,Yes
47,Chennai,Vanagaram,1079,6020,0.65,Flat,2 BHK,3,Yes
48,Chennai,Jeth Nagar,1100,10910,1.2,Flat,2 BHK,3,Yes
49,Chennai,Madambakkam,1432,3910,0.56,Flat,3 BHK,3,Yes
50,Chennai,Urapakkam,932,4830,0.45,Flat,2 BHK,3,Yes
51,Chennai,Madambakkam,1500,3000,0.45,Independent House,3 BHK,3,Yes
52,Chennai,West Tambaram,1200,6250,0.75,Independent House,2 BHK,3,Yes
53,Chennai,Velachery,590,5420,0.32,Flat,1 BHK,2,Yes
54,Chennai,Sembakkam,1570,5410,0.85,Flat,4 BHK,3,Yes
55,Chennai,Medavakkam,808,4460,0.36,Flat,2 BHK,3,No
56,Chennai,Thiruvallur,1582,3160,0.5,Independent House,3 BHK,3,Yes
57,Chennai,Villivakkam,2400,9380,2.25,Independent House,4 BHK,4,Yes
58,Chennai,Raja Annamalai Puram,1350,11850,1.6,Flat,3 BHK,3,Yes
59,Chennai,Porur,1400,4640,0.65,Independent House,3 BHK,3,Yes
60,Chennai,Urapakkam,950,3370,0.32,Flat,2 BHK,3,No
61,Chennai,Puzhal,850,6470,0.55,Independent House,2 BHK,3,Yes
62,Chennai,Ramapuram,860,6280,0.54,Flat,2 BHK,3,No
63,Chennai,Velachery,1300,6080,0.79,Flat,3 BHK,3,Yes
64,Chennai,Raja Annamalai Puram,780,10900,0.85,Flat,2 BHK,2,No
65,Chennai,Ambattur,1100,6090,0.67,Independent House,2 BHK,3,No
66,Chennai,Adambakkam,1193,8300,0.99,Flat,3 BHK,3,No
67,Chennai,Kolathur,1350,8890,1.2,Independent House,3 BHK,3,No
68,Chennai,Perungudi,1200,6250,0.75,Flat,2 BHK,3,Yes
69,Chennai,Perambur,946,6660,0.63,Flat,2 BHK,3,No
70,Chennai,Anna Nagar West,1065,8260,0.88,Flat,3 BHK,3,Yes
71,Chennai,Mudichur,580,4630,0.27,Flat,1 BHK,2,Yes
72,Chennai,Sholinganallur,1160,5590,0.65,Flat,2 BHK,3,No
73,Chennai,Perumbakkam,1055,5500,0.58,Flat,2 BHK,3,Yes
74,Chennai,Vadapalani,1940,14180,2.75,Independent House,4 BHK,3,Yes
75,Chennai,Choolaimedu,938,9590,0.9,Flat,2 BHK,3,Yes
76,Chennai,Sembakkam,1712,6720,1.15,Flat,3 BHK,3,Yes
77,Chennai,Triplicane,1328,18000,2.39,Independent House,4 BHK,3,Yes
78,Chennai,Pennalur,1085,2760,0.3,Flat,2 BHK,3,Yes
79,Chennai,Singaperumal Koil,880,3100,0.27,Independent House,1 BHK,3,Yes
80,Chennai,Oragadam Sriperambattur,1450,4830,0.7,Flat,3 BHK,3,Yes
81,Chennai,Kelambakkam,462,6060,0.28,Flat,1 BHK,2,No
82,Chennai,Perambur,900,10330,0.93,Flat,2 BHK,3,No
83,Chennai,Perumbakkam,904,4980,0.45,Flat,2 BHK,3,No
84,Chennai,Kilpauk,940,6910,0.65,Flat,2 BHK,3,No
85,Chennai,Valasaravakkam,5400,9500,5.13,Independent House,5 BHK,5,Yes
86,Chennai,Ambattur,795,5500,0.44,Flat,2 BHK,2,Yes
87,Chennai,Kolathur,990,6970,0.69,Flat,2 BHK,3,Yes
88,Chennai,Thandalam,630,7140,0.45,Flat,2 BHK,2,No
89,Chennai,Anna Nagar West,1100,9090,1,Flat,3 BHK,3,Yes
90,Chennai,Madambakkam,598,4930,0.29,Flat,2 BHK,2,Yes
91,Chennai,Mogappair,918,7840,0.72,Flat,2 BHK,3,No
92,Chennai,Ambattur,3300,11450,3.78,Independent House,4 BHK,1,Yes
93,Chennai,Anakaputhur,490,3060,0.15,Flat,1 BHK,2,Yes
94,Chennai,Iyyappanthangal,1791,7260,1.3,Flat,3 BHK,3,Yes
95,Chennai,Oragadam Sriperambattur,500,3600,0.18,Flat,1 BK,2,No
96,Chennai,Medavakkam,1512,5160,0.78,Flat,3 BHK,3,No
97,Chennai,Thirumullaivoyal,967,5010,0.48,Flat,2 BHK,3,Yes
98,Chennai,Ponmar,1669,4310,0.72,Villa,2 BHK,3,Yes
99,Chennai,Vandalur,1065,3380,0.36,Flat,2 BHK,3,No
100,Chennai,Anna Nagar West,2661,11270,3,Flat,4 BHK,4,Yes
101,Chennai,Mogappair,1000,7200,0.72,Flat,2 BHK,3,No
102,Chennai,Perambur,8000,8130,6.5,Independent House,10 BHK,1,Yes
103,Chennai,Ayappakkam,640,2660,0.17,Flat,1 BHK,2,Yes
104,Chennai,Virugambakkam,960,6090,0.58,Flat,2 BHK,3,No
105,Chennai,Ayappakkam,1168,5010,0.59,Flat,2 BHK,3,Yes
106,Chennai,Kotturpuram,1650,13940,2.3,Flat,3 BHK,3,Yes
